"Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
1,1,1,72.6720587176231,0.624027171419591,45.3493392429564
2,1,1,22.3595525814044,0.692675841024221,15.487921889072
3,1,1,16.0775618879285,0.811130483346858,13.0410005451663
4,1,1,219.969588683834,0.929492018066713,204.459976899363
5,1,1,81.539238794091,0.654016068064945,53.3279723492958
6,1,1,54.0213792474197,0.697052601422283,37.6557429367849
7,1,1,162.320643359178,0.650323202708776,105.560880655307
8,1,1,140.75842167832,0.531724595327216,74.8447148055919
9,1,1,41.8329359422704,0.483121508759947,20.2103911277823
10,1,1,169.418511612125,0.53679492112193,90.9429965781866
11,1,1,124.872770735486,0.525967506881628,65.6790199014112
12,1,1,163.528886527537,0.889230518161771,145.414876501222
13,1,1,258.147028790494,0.7298141211937,188.399346950994
14,1,1,165.539452096782,0.749161925940218,124.015854750666
15,1,1,105.737606990952,1.05044636691379,111.071685109851
16,1,1,141.590528195787,0.760130640964676,107.627298952266
17,1,1,296.701462275736,0.827079150513898,245.395593352386
18,1,1,135.679350390453,0.703153111491694,95.403357392135
19,1,1,118.248947163204,0.752670568505556,89.0025022863416
20,1,1,83.5066491417812,0.885005472169634,73.903841452969
21,1,1,151.632712511083,0.903922710199577,137.064252448044
